,Report Received Date,NHTSA ID,Recall Link,Manufacturer,Subject,Component,Mfr Campaign Number,Recall Type,Potentially Affected,Recall Description,Consequence Summary,Corrective Action,Park Outside Advisory,Do Not Drive Advisory,Stock Abbreviation,fuzzy_company,ticker,open,close,market_cap,eps,full_name
1177,2024-08-02,24V578000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V578000),"Doosan Bobcat North America, Inc.",Wheel May Detach from Loose Lug Nuts,WHEELS,5-24-10,Vehicle,127,"Doosan Bobcat North America, Inc. (Doosan) is recalling certain 2023 Bobcat PA185, and C185WD0-T4F portable compressor trailers.  The wheel lug nuts may be improperly tightened.","Improperly tightened lug nuts may allow the wheels to detach, increasing the risk of a crash.","Owners are advised not to tow their trailers until the remedy has been completed.  Dealers will tighten the wheel lug nuts, free of charge.  Owner notification letters were mailed August 7, 2024.  Owners may contact Doosan customer service at 1-800-633-5206.  Doosan's number for this recall is 5-24-10.",No,Yes,NYSE:,Central North Airport Group,GAERF,1.5175681114196777,1.5175681114196777,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
1179,2024-08-01,24V569000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V569000),"Daimler Trucks North America, LLC",Ground Connection May Overheat,ELECTRICAL SYSTEM,F1008,Vehicle,629,"Daimler Trucks North America, LLC (DTNA) is recalling certain Thomas Built Buses 2024-2025 Saf-T-Liner C2 and Saf-T-Liner C2 Jouley school buses.  The ground cable for the air conditioning system may have been improperly installed and overheat.",An overheated ground cable can increase the risk of a fire.,"Dealers will inspect and repair the ground cable connection, free of charge.  Owner notification letters were mailed September 11, 2024.  Owners may contact DTNA customer service at 800-745-8000.  DTNA's number for this recall is F1008.",No,No,NYSE:,DAIMLER AG,MBGAF,59.74452777671051,58.87840270996094,60297027584,8.21,Mercedes-Benz Group AG
1180,2024-08-01,24V570000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V570000),"Daimler Trucks North America, LLC",Ground Connection May Overheat,ELECTRICAL SYSTEM,F1008,Vehicle,13,"Daimler Trucks North America, LLC (DTNA) is recalling certain Thomas Built Buses 2025 Saf-T-Liner C2 transit buses.  The ground cable for the air conditioning system may have been improperly installed and overheat.",An overheated ground cable can increase the risk of a fire.,"Dealers will inspect and repair the ground cable connection, free of charge.  Owner notification letters were mailed September 11, 2024.  Owners may contact DTNA customer service at 800-745-8000.  DTNA's number for this recall is F1008.",No,No,NYSE:,DAIMLER AG,MBGAF,59.74452777671051,58.87840270996094,60297027584,8.21,Mercedes-Benz Group AG
1181,2024-08-01,24V571000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V571000),"Daimler Trucks North America, LLC",Loss of Steering Control from Tie Rod Failure,STEERING,F1007,Vehicle,3799,"Daimler Trucks North America, LLC (DTNA) is recalling certain 2025 Freightliner 108SD, 114SD, Business Class M2, Cascadia and Western Star 47X vehicles.  The tie rod in the front axle may contain ball studs that have been incorrectly heat-treated, which can cause them to break, and result in tie rod failure.",Tie rod failure can cause a loss of vehicle steering control and increase the risk of a crash.,"Dealers will inspect and replace the tie rod assembly, as necessary free of charge.  Owner notification letters were mailed September 27, 2024.  Owners may contact DTNA customer service at 800-745-8000.  DTNA's number for this recall is F1007.",No,No,NYSE:,DAIMLER AG,MBGAF,59.74452777671051,58.87840270996094,60297027584,8.21,Mercedes-Benz Group AG
1185,2024-08-01,24V575000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V575000),"General Motors, LLC",Incorrect Owners Manual in Glove Box/FMVSS 225,EQUIPMENT,N242454040,Vehicle,22,"General Motors, LLC (GM) is recalling certain 2024 Cadillac XT4 and Chevrolet Malibu vehicles.  The vehicles may have the wrong owner's manual in the glove box.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 225, ""Child Restraint Anchorage Systems.""","The wrong owner's manual may contain inaccurate information about vehicle functions and other safety relevant information, which could lead to improper operation of the vehicle and increase the risk of a crash or injury.","Dealers will provide owners with the correct manual, free of charge.  Owner notification letters were mailed August 26, 2024.  Owners may contact Cadillac's customer service at 1-800-458-8006 and Chevrolet customer service at 1-800-222-1020.  GM's number for this recall is N242454040.",No,No,NYSE:GM,General Motors Co,GM,44.0906845936959,42.80754470825195,64983121920,5.24,General Motors Company
1186,1997-03-27,97V050000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=97V050000),"Rolls-Royce Motor Cars, Ltd.",ROLLS-ROYCE/HYDRAULIC HOSES,"SERVICE BRAKES, HYDRAULIC",NR (Not Reported),Vehicle,38,"TWO HYDRAULIC SYSTEM PIPES CONNECTING THE HYDRAULIC BRAKE PUMPS TO THE ACCUMULATORS CAN CONTACT EACH OTHER, RESULTING IN A HYDRAULIC FLUID LEAK.",CHAFING OF THE PIPES CAN RESULT IN A FLUID LEAK AND CONSEQUENT LOSS OF BRAKING PERFORMANCE.,DEALERS WILL REPOSITION THE PIPES TO PREVENT CONTACT BETWEEN THE TWO PIPES.,No,No,NYSE:,Cars.com Inc.,CARS,,,694334144,0.62,Cars.com Inc.
1187,2024-08-01,24V576000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V576000),"BMW of North America, LLC",Starter Motor May Fail and Overheat,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,105588,"BMW of North America, LLC is recalling certain 2019-2020 X5, X7, 2020 3 Series Sedan, X6, 2020-2021 7 Series Sedan, 2020 8 Series Convertible, 8 Series Coupe, and 2020 8 Series Gran Coupe vehicles.  Please see the recall report for the complete list of models.  In the event the starter motor fails, repeated attempts to start the vehicle can cause the starter motor to overheat from an electrical overload.","A starter motor that overheats can ignite nearby combustible material in the engine compartment, increasing the risk of a fire.","Dealers will update the vehicle software, free of charge.  Owner notification letters were mailed September 27, 2024.  Owners may contact BMW customer service at 1-800-525-7417.",No,No,NYSE:,Central North Airport Group,GAERF,1.5175681114196777,1.5175681114196777,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
1193,2024-07-26,24V557000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V557000),"BMW of North America, LLC",Starter Relay May Overheat,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,1582,"BMW of North America, LLC (BMW) is recalling certain 2024 R 1300 GS motorcycles.  The housing for the starter motor relay may have been manufactured incorrectly, which can result in a damaged relay that can overheat.",An overheated electrical relay increases the risk of a fire.,"Dealers will replace the starter relay and update the software, free of charge.  Owner notification letters were mailed September 23, 2024.  Owners may contact BMW customer service at 1-800-525-7417.",No,No,NYSE:,Central North Airport Group,GAERF,1.5175681114196777,1.5175681114196777,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
1194,2024-07-26,24V561000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V561000),Hyundai Motor America,Unintentional Air Bag Deactivation or Deployment,,265,Vehicle,49719,"Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe and Santa Fe HEV vehicles.  The main floor wiring harness may chafe against the passenger-side second-row bench seat assembly and become damaged, which can cause the air bags to deploy unintentionally or prevent the air bags from deploying in a crash.",An air bag that deploys unintentionally can increase the risk of an injury.  An air bag that does not deploy as intended can increase the risk of injury in a crash.,"Dealers will inspect and repair, or replace the wiring harness as necessary, free of charge.  Owner notification letters were mailed August 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 265.",No,No,NYSE:,TOYOTA MOTOR CORP/,TOYOF,19.4513470641606,18.64813232421875,269150797824,2.14,Toyota Motor Corporation
1195,2024-07-26,24V563000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V563000),"Forest River, Inc.",Microwave May Experience Electrical Arcing,EQUIPMENT,89-1819,Vehicle,63,"Forest River, Inc. (Forest River) is recalling certain 2025 Cherokee CKT20-0G travel trailers.  During installation, an incorrect length screw was used to install the microwave, which allowed the screw to enter the microwave compartment.","The presence of a screw in the microwave compartment can cause electrical arcing, increasing the risk of a fire.","Dealers will inspect and replace the microwave as necessary, free of charge.  Owner notification letters were mailed August 7, 2024.  Owners may contact Forest River customer service at 1-260-499-2100.  Forest River's number for this recall is 89-1819.",No,No,NYSE:,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",CRL,224.27000427246094,233.47000122070312,9697161216,-1.3,"Charles River Laboratories International, Inc."
1196,2024-07-26,24V564000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V564000),Nova Bus (US) Inc.,Reduced Visibility from Glazing on Glass/FMVSS 205,VISIBILITY,CR5626,Vehicle,186,"Nova Bus (US) Inc. (Nova Bus) is recalling certain 2019-2023 LFS and 2019-2020 LFS Arctic buses.  The glazing used on the glass windows may reduce the driver's visibility.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 205, ""Glazing Materials.""",Reduced visibility while driving can increase the risk of a crash.,"Nova Bus will inspect the vehicles and replace the driver shield glazing as necessary, free of charge.  Owner notification letters were mailed October 10, 2024.  Owners may contact Nova Bus customer service at 1-800-350-6682.  Nova Bus's number for this recall is CR5626.",No,No,NYSE:,BANK OF NOVA SCOTIA,BNS,43.1816353704412,43.22878646850586,80542662656,3.74,The Bank of Nova Scotia
1198,2024-07-25,24V558000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V558000),Nova Bus (US) Inc.,Air Leak in Brake Chamber on Rear Axle,"SERVICE BRAKES, AIR",CR5619,Vehicle,534,"Nova Bus (US) Inc. (Nova Bus) is recalling certain 2016-2019 LFS and LFS Artic buses.  The brake chamber on the rear axle may have been improperly manufactured, which can result in an air leak.","A brake chamber air leak may cause the brakes to engage unexpectedly, which can overheat the brakes and increase the risk of a fire.  Additionally, unexpected braking can increase the risk of a crash.","Nova Bus will inspect and replace the brake chamber as necessary, free of charge.  Owner notification letters were mailed November 02, 2024.  Owners may contact Nova Bus customer service at 1-800-350-6682.  Nova Bus's number for this recall is CR5619.",No,No,NYSE:,BANK OF NOVA SCOTIA,BNS,43.1061926859084,42.95530700683594,80542662656,3.74,The Bank of Nova Scotia
1199,2024-07-25,24V556000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V556000),"International Motors, LLC",Loss of Steering Control from Tie Rod Failure,STEERING,24511,Vehicle,573,"Navistar, Inc. (Navistar) is recalling certain 2025 International HV, HX, LT, MV, and RH vehicles.  The tie rod assemblies may contain ball studs that have been incorrectly heat-treated, which can cause them to break, and possibly result in tie rod failure.",Tie rod failure can cause a loss of vehicle steering control and increase the risk of a crash.,"Dealers will replace the tie rod end and re-align the front axle, free of charge.  Owner notification letters were mailed September 9, 2024.  Owners may contact Navistar customer service at 1-800-448-7825.  Navistar's number for this recall is 24511.",No,No,NYSE:,General Motors Co,GM,45.07771491447264,43.55768966674805,64983121920,5.24,General Motors Company
1200,2024-07-25,24V559000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V559000),Nova Bus (US) Inc.,Air Leak in Brake Chamber on Rear Axle,"SERVICE BRAKES, AIR",CR5620,Vehicle,166,"Nova Bus (US) Inc. (Nova Bus) is recalling certain 2019-2021 LFS and 2019 LFS Artic buses.  The brake chamber on the rear axle may have been improperly manufactured, which can result in an air leak.","A brake chamber air leak may cause the brakes to engage unexpectedly, which can overheat the brakes and increase the risk of a fire.  Additionally, unexpected braking can increase the risk of a crash.","Nova Bus will inspect and replace the brake chamber as necessary, free of charge.  Owner notification letters were mailed November 02, 2024.  Owners may contact Nova Bus customer service at 1-800-350-6682.  Nova Bus's number for this recall is CR5620.",No,No,NYSE:,BANK OF NOVA SCOTIA,BNS,43.1061926859084,42.95530700683594,80542662656,3.74,The Bank of Nova Scotia
1201,2024-07-25,24V560000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V560000),"Nissan North America, Inc.",Loss of Drive Power from Inverter Software Error,ELECTRICAL SYSTEM,R24A8,Vehicle,1188,"Nissan North America, Inc. (Nissan) is recalling certain 2023 Ariya vehicles.  The inverter software may misdiagnose an error, which can shut down the EV system, resulting in a loss of drive power.",An unexpected loss of drive power increases the risk of a crash.,"Dealers will inspect the vehicle's inverter software version and update the software, if necessary, free of charge.  Owner notification letters were mailed September 12, 2024.  Owners may contact Nissan's customer service at 1-800-867-7669.  Nissan's number for this recall is R24A8.",No,No,NYSE:NSANY,Central North Airport Group,GAERF,1.5175681114196777,1.5175681114196777,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
1202,2024-07-25,24V562000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V562000),Hyundai Motor America,Unintended Movement on Vehicle Startup,ELECTRICAL SYSTEM,266,Vehicle,12612,"Hyundai Motor America (Hyundai) is recalling certain 2010-2013 Genesis Coupe vehicles.  A return spring in the ignition lock switch may fracture, which can result in unintended vehicle movement when the vehicle is started in gear, without the parking brake applied.",Unintended vehicle movement can increase the risk of a crash.,"Dealers will replace the ignition lock switch, free of charge.  Owner notification letters were mailed September 4, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 266.",No,No,NYSE:,TOYOTA MOTOR CORP/,TOYOF,18.754581552615196,19.05457878112793,269150797824,2.14,Toyota Motor Corporation
1203,2024-07-24,24V552000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V552000),A&J Vans Inc,Seat Back Malfunction,,NR (Not Reported),Vehicle,6,"A&J Vans Inc (A&J) is recalling certain 2024 Ford Transit vehicles, equipped with certain GO-ES Space Saver Foldaway Seats.  The recliner mechanism may not engage when the seat back is fully reclined.","The seat back could release when force is applied to the shoulder belt, increasing the risk of injury during a crash.","A&J will inspect and repair the seats as necessary, free of charge.  Owners may contact A&J customer service at 920-775-9333.",No,No,NYSE:,Arthur J. Gallagher & Co.,AJG,271.49076188008473,271.5699768066406,71968792576,6.6,Arthur J. Gallagher & Co.
1204,2024-07-24,24V554000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V554000),"Tesla, Inc.",Software May Fail to Detect Unlatched Hood,ELECTRICAL SYSTEM,SB-24-00-012,Vehicle,1849638,"Tesla, Inc. (Tesla) is recalling certain 2021-2024 Model 3, Model S, Model X, and 2020-2024 Model Y vehicles.  The hood latch assembly may fail to detect an unlatched hood condition after the hood has been opened.","An unlatched hood can fully open, obstructing the driver's view and increasing the risk of a crash.","Tesla has released an over-the-air (OTA) software update, free of charge.  Owner notification letters were mailed September 24, 2024.  Owners may contact Tesla customer service at 1-877-798-3752.  Tesla's number for this recall is SB-24-00-012.",No,No,NYSE:TSLA,"Tesla, Inc.",TSLA,225.4199981689453,215.99000549316406,1442474229760,1.43,"Tesla, Inc."
1205,2024-07-24,24V555000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V555000),"Daimler Trucks North America, LLC",Emergency Exit Label Print Too Small/FMVSS 217,EQUIPMENT,FL918,Vehicle,27494,"Daimler Trucks North America, LLC (DTNA) is recalling certain Thomas Built Buses 2019-2022 Saf-T-Liner C2, Saf-T-Liner EFX, Saf-T-Liner HDX, Minotour DRW, 2020-2022 Saf-T-Liner C2 Jouley, and Minotour SRW school buses.  The Emergency Exit Label lettering is too small and may be difficult to read.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 217, ""Bus Emergency Exits and Window Retention and Release.""","Emergency exit labels that are difficult to read can prevent or delay the use of the emergency exit, increasing the risk of injury.","Dealers will correct the lettering, free of charge.  Owner notification letters were mailed September 5, 2024.  Owners may contact DTNA customer service at 1-800-547-0712.  DTNA's number for this recall is FL918.",No,No,NYSE:,DAIMLER AG,MBGAF,63.78033061485103,63.83561325073242,60297027584,8.21,Mercedes-Benz Group AG
1206,2024-07-23,24V545000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V545000),Capacity of Texas,Steering Gear Assembled Incorrectly,,NR (Not Reported),Vehicle,865,"Capacity of Texas (Capacity of Texas) is recalling certain 2023 TJ Series (5000, 6500, and 9000) vehicles.  The steering gear assemblies may have been assembled incorrectly with fewer recirculating balls than are required, which may result in a loss of steering control.",A loss of steering control increases the risk of a crash.,"Dealers will inspect and replace the defective gears, free of charge.  Owners may contact Capacity of Texas customer service at 1-800-323-0135.",No,No,NYSE:,TEXAS INSTRUMENTS INC,TXN,193.47475068923728,191.25633239746094,153675415552,5.5,Texas Instruments Incorporated
1207,2022-10-20,22V790000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=22V790000),Orange EV,Parking Brake May Not Engage,PARKING BRAKE,NR (Not Reported),Vehicle,106,Orange EV (OEV) is recalling certain 2022 e-Triever vehicles.  The fastener for the parking brake slack adjustor may not have been properly tightened.,"A loose fastener may prevent the parking brake from properly engaging, allowing the vehicle to rollaway and increasing the risk of a crash.","OEV Service will tighten or replace the fastener, free of charge.  All affected vehicles were remedied by December 19, 2022.  Owners may contact OEV customer service at 1-866-688-5223.",No,No,NYSE:,LOBO EV TECHNOLOGIES LTD,LOBO,,,12963091,-0.35,Lobo Technologies Ltd.
1208,2024-07-23,24V548000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V548000),"Gulf States Toyota, Inc.",Incorrect Weight Capacity Label/FMVSS 110,EQUIPMENT,24R2,Vehicle,33848,"Gulf States Toyota, Inc. (GST) is recalling certain Toyota 2023 GR Supra, 2024 4 Runner, Corolla, Grand Highlander, Grand Highlander Hybrid, Land Cruiser Hybrid, Tacoma, Tacoma Hybrid, 2023-2024 BZ4X, Corolla Cross Hybrid, GR Corolla, GR86, Highlander, Highlander Hybrid, Prius, Prius Prime, Sequoia Hybrid, Tundra, Tundra Hybrid, Venza Hybrid, 2023-2025 Crown, and 2025 Camry Hybrid vehicles equipped with GST accessories.  The load carrying capacity modification label may display inaccurate added weight values.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 110, ""Tire Selection and Rims.""","A vehicle with an incorrect maximum capacity weight value may be overloaded, which can increase the risk of a crash.","GST will mail new labels to owners, free of charge.  Owner notification letters were mailed September 16, 2024.  Owners may contact GST customer service at 1-800-444-1074.  GST's number for this recall is 24R2.",No,No,NYSE:,GULF ISLAND FABRICATION INC,GIFI,6.570000171661377,6.53000020980835,128278232,0.6,"Gulf Island Fabrication, Inc."
1212,2024-07-22,24V546000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V546000),Motiv Power Systems,HV Battery Shutdown Can Cause Loss of Drive Power,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,200,"Motiv Power Systems, Inc. (Motiv) is recalling certain 2021-2024 E-450, 2019-2023 F-59, and 2019-2020 F-53 vehicles equipped with a Motiv Gen 5 EPIC powertrain.  The vehicle control software could misclassify a loss of isolation between the chassis and high voltage system, shutting down the high voltage (HV) batteries.","The shutdown of the HV batteries can cause a loss of power steering, brake power assist, and drive power, increasing the risk of a crash.","Motiv will release an over-the-air (OTA) software update, free of charge.  Owner notification letters were mailed September 5, 2024.  Owners may contact Motiv customer service at 1-650-458-4804.",No,No,NYSE:,MONOLITHIC POWER SYSTEMS INC,MPWR,821.6904166352937,848.8672485351562,51479592960,38.27,"Monolithic Power Systems, Inc."
1213,2024-07-22,24V547000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V547000),Motiv Power Systems,Damage to Wires can Cause Loss of Drive Power,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,78,"Motiv Power Systems, Inc. (Motiv) is recalling certain 2021-2024 E-450 vehicles equipped with a Motiv Gen 5 EPIC powertrain.  The Controller Area Network (CAN) signal wires could contact the frame rail and become damaged, causing a loss of drive power.",A loss of drive power increases the risk of a crash.,"Motiv field support technicians will inspect and repair any loose wiring, and replace damaged CAN wiring as necessary, free of charge.  Owner notification letters were mailed September 5, 2024.  Owners may contact Motiv customer service at 1-650-458-4804.",No,No,NYSE:,MONOLITHIC POWER SYSTEMS INC,MPWR,821.6904166352937,848.8672485351562,51479592960,38.27,"Monolithic Power Systems, Inc."
1214,2024-07-19,24V542000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V542000),Ford Motor Company,Loss of Power Steering Assist,STEERING,24S46,Vehicle,1902,"Ford Motor Company (Ford) is recalling certain 2023-2024 Transit vehicles equipped with a Transit Trail package.  The electronic power assist steering (EPAS) ground eyelet joint may experience corrosion, which can result in a loss of power steering assist.",A loss of power steering assist can increase the risk of a crash.,"Dealers will install a new EPAS ground pigtail kit, free of charge.  Owner notification letters were mailed on January 10, 2025.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 24S46.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
1215,2024-07-19,24V543000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V543000),Blue Bird Body Company,Insufficient Roof Joint Strength/FMVSS 221,STRUCTURE,NR (Not Reported),Vehicle,16708,"Blue Bird Bus Company (Blue Bird) is recalling certain 2019-2023 Vision, All American Front Engine, and All American Rear Engine school buses.  An exterior roof joint may have been manufactured with insufficient strength that can allow the roof panels to separate in a crash.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 221, ""School Bus Body Joint Strength.""",Roof panels that separate during a crash can increase the risk of injury.,"Dealers will inspect the roof panel joints and install additional rivets as necessary, free of charge.  Owner notification letters were mailed September 17, 2024.  Owners may contact Blue Bird customer service at 1-478-822-2242.",No,No,NYSE:BLBD,Blue Bird Corp,BLBD,50.279998779296875,49.06999969482422,1787693952,3.49,Blue Bird Corporation
1216,2024-07-19,24E061000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24E061000),Ford Motor Company,Loss of Steering Control from Tie Rod Failure,STEERING,24S47,Equipment,42,"Ford Motor Company (Ford) is recalling certain tie rod assemblies, with part numbers FC4Z-3280-FA and FC4Z-3280-HA.  The front axle tie rod assemblies may contain ball studs that have been incorrectly heat-treated, which can cause them to break, and possibly result in tie rod failure.",Tie rod failure can cause a loss of vehicle steering control and increase the risk of a crash.,"Dealers will provide a refund for the front axle tie rod assemblies, free of charge.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 24S47.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
1218,2024-07-19,24V544000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V544000),"Doosan Bobcat North America, Inc.",Wheel May Detach from Loose Lug Nuts,WHEELS,NR (Not Reported),Vehicle,24,"Doosan North America, Inc. (Doosan) is recalling certain 2024 Bobcat PG25 portable generator trailers.  The wheel lug nuts may be improperly tightened.","Improperly tightened lug nuts may allow the wheels to detach, increasing the risk of a crash.","Owners are advised not to tow their trailers until the remedy has been completed.  Dealers will tighten the wheel lug nuts, free of charge.  Owner notification letters were mailed July 29, 2024.  Owners may contact Doosan customer service at 1-800-633-5206.",No,Yes,NYSE:,Central North Airport Group,GAERF,1.5175681114196777,1.5175681114196777,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
1221,2024-07-18,24V537000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V537000),"Maserati North America, Inc.",Incorrect Weight Capacity on Label/FMVSS 110,EQUIPMENT,730,Vehicle,1092,"Maserati North America, Inc. (Maserati) is recalling certain 2022-2024 Maserati MC20, and 2023-2024 MC20 Cielo vehicles.  The Vehicle Capacity Weight (VCW) on the tire label may state incorrect information.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 110, ""Tire Selection and Rims.""","A vehicle with an incorrect maximum capacity weight value may be overloaded, which can increase the risk of a crash.","Dealers will install corrected labels, free of charge.  Owner notification letters were mailed August 20, 2024.  Owners may contact Maserati customer service at 1-877-969-2737.  Maserati's number for this recall is 730.",No,No,NYSE:,Central North Airport Group,GAERF,1.5175681114196777,1.5175681114196777,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
1222,2024-07-18,24V539000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V539000),Hyundai Motor America,Loss of Steering from Unsecured Pitman Arm,STEERING,264,Vehicle,35,"Hyundai Motor America (Hyundai) is recalling certain 2023 Xcient vehicles.  The pitman arm may not be secured properly to the steering gearbox, which can result in a loss of steering control.",A loss of steering control increases the risk of a crash.,"Dealers will inspect and repair the pitman arm connection as necessary, free of charge.  All vehicles have been remedied.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 264.",No,No,NYSE:,TOYOTA MOTOR CORP/,TOYOF,17.893303948123332,19.06425666809082,269150797824,2.14,Toyota Motor Corporation
1223,2024-07-18,24V540000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V540000),Honda (American Honda Motor Co.),Right Front Lower Control Arm May Fracture,SUSPENSION,PIY,Vehicle,39,Honda (American Honda Motor Co.) is recalling certain 2024 Prologue vehicles.  The right front lower control arm may contain a manufacturing defect that can cause it to fracture.,"A right front lower control arm fracture can cause loss of vehicle control, increasing the risk of a crash.","Dealers will inspect and replace the right front lower control arm as necessary, free of charge.  Owner notification letters were mailed September 3, 2024.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's number for this recall is PIY.",No,No,NYSE:,HONDA MOTOR CO LTD,HNDAF,10.426425983814182,9.843463897705078,40674668544,0.95,"Honda Motor Co., Ltd."
1224,2024-07-18,24V541000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V541000),"Winnebago Industries, Inc.",Solar Charging System May Melt Fuse,EQUIPMENT,186,Vehicle,2193,"Winnebago Industries, Inc. (Winnebago) is recalling certain 2021-2025 Ekko motorhomes.  The solar charging system was incorrectly designed without sufficient over-current protection, which can allow the circuit to overheat and melt the fuse.",A melted fuse increases the risk of a fire.,"Dealers will replace the solar controller fuse and components, as necessary free of charge.  Owner notification letters were mailed October 25, 2024.   Owners may contact Winnebago customer service at 1-641-585-3535.  Winnebago's number for this recall is 186.",No,No,NYSE:WGO,WINNEBAGO INDUSTRIES INC,WGO,56.29576527707491,55.52118682861328,1132502400,0.91,"Winnebago Industries, Inc."
1225,2024-07-17,24V534000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V534000),"BMW of North America, LLC",Interior Rear Cargo Rail May Detach in Crash,,NR (Not Reported),Vehicle,282387,"BMW of North America, LLC (BMW) is recalling certain 2018-2023 X3 sDrive30i, X3 xDrive30i, X3 M40i, and X3 M vehicles.  The attachment for the interior cargo rail may become damaged in a rear crash and result in the cargo rail detaching.",Interior cargo rail detachment during a rear crash can increase the risk of injury.,"Dealers will replace the rear cargo rail attachment bolts, free of charge.  Owner notification letters were mailed January 2, 2024.  Owners may contact BMW customer service at 1-800-525-7417.",No,No,NYSE:,Central North Airport Group,GAERF,1.5175681114196777,1.5175681114196777,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
1226,2024-07-17,24V535000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V535000),"Suzuki Motor USA, LLC",Rear Tire Tread Separation May Cause Crash,,3A03,Vehicle,1688,"Suzuki Motor USA, LLC (Suzuki) is recalling certain 2023-2024 DL800DE motorcycles.  The rear tire may crack or deform, resulting in tire tread separation.","Tread separation may cause a loss of vehicle control, increasing the risk of a crash.","Owners are advised not to ride their motorcycles until the remedy has been completed.  Dealers will replace the rear tire, free of charge.  Owner notification letters were mailed September 20, 2024.  Owners may contact Suzuki customer service at 1-714- 572-1490.  Suzuki's number for this recall is 3A03.",No,Yes,NYSE:,COMFORT SYSTEMS USA INC,FIX,323.61838589395234,301.4718322753906,34625064960,23.56,"Comfort Systems USA, Inc."
